Application_ID,Candidate_ID,Candidate_Name,Age,Gender,Education,Degree,Graduation_Year,Experience_Years,Candidate_Skills,Job_ID,Job_Title,Company_Name,Industry,Job_Location,State,Job_Type,Work_Mode,Required_Skills,Minimum_Experience,Salary_Range,Salary_Expected_LPA,Salary_Offered_LPA,Application_Date,Application_Source,Application_Status,Interview_Status,Final_Status,Skills_Match_Percentage,Experience_Match,Eligibility_Status,Job_Match_Score,Days_to_Response
APP102885,CAND24713,Sowmya Kumar,41,Female,Bachelor's,BBA,2010,4.9,"Target Achievement, Leadership, Market Research, Adaptability, Cold Calling, CRM Software",JOB5759,Sales Executive,Unity Systems,Sales & Business Development,Ahmedabad,Gujarat,Contract,Work From Office,"Client Relationship, Cold Calling, Target Achievement, Sales Reporting, Communication",2,4.4L-6.0L,INR 5.4,,30-10-2024,Referral,Interview scheduled ,Completed,In Process,40,Yes,Partially Eligible,60.3,37
APP117270,CAND24699,Harsha Raman,29,Other,Master's,B.Sc Statistics,2004,7.4,"Statistics, VLOOKUP, Tableau, Excel, Pandas",JOB5890,Data Analyst,Yellowstone Digital,Information Technology,Hyderabad,Telangana,Contract,Work From Office,"Pandas, Data Cleaning, Excel, Data Visualization, Power BI",0,8.5 to 11.1 Lakhs,10.2,"8,00,000",29-09-2024,Referral,rejected,Not Scheduled,Rejected,42.1,Yes,Partially Eligible,68.5,25
APP111969,CAND25283,Arun Menon,25,Male,Bachelor's,M.Sc Data Science,2007,4.4,"NLP, Scikit-learn, Data Visualization, Statistics, SQL",JOB5651,Data Scientist,Titan Technologies,Information Technology,Pune,Maharashtra,Full-Time,Work From Home,"Deep Learning, Scikit-learn, Machine Learning, SQL, Data Visualization",8,10.6 to 15.4 Lakhs,13.9 LPA,11.4,17-08-2024,Referral,on hold,Not Scheduled,In Process,58.7,No,Not Eligible,43.8,39
APP103354,CAND20778,Priyanka Chawla,39,Female,,BCA,2019,6,"Bug Tracking, Agile, Selenium, Adaptability, Critical Thinking",JOB5401,QA Tester,Ganga Infotech,Information Technology,Pune,Maharashtra,Full-Time,Work From Office,"JIRA, Automation Testing, API Testing, Manual Testing",2,6.1-8.2 LPA,,"6,50,000",02-02-2024,Referral,Rejected,Not Scheduled,Rejected,0.5,Yes,Not Eligible,40.6,9
APP104426,CAND29346,Manoj Banerjee,45,Male,Bachelor's,B.A,2020,5,"Recruitment, Communication, Employee Engagement, Payroll, HRMS, Attendance Management",JOB5514,HR Executive,Rapid Systems,Human Resources,Salem,Tamil Nadu,Contract,Work From Office,"Employee Engagement, Recruitment, HRMS, Labour Law",0,4.4L-6.1L,4.5 LPA,4.2,26-05-2023,Company Website,SELECTED,Scheduled,Selected,74.3,Yes,Eligible,86.4,28
APP109519,CAND21914,Arun Warrier,43,Male,Diploma,BCA,2024,1,"Adaptability, JavaScript, REST API, CSS, HTML, Hindi Proficiency",JOB5079,Web Developer,Delta Softwares,Information Technology,Kochi,Kerala,Full-Time,Work From Office,"Node.js, Bootstrap, REST API, TypeScript, CSS",1,3.5-6.1 LPA,"4,30,000",4.2,30-10-2025,Referral,Pending,Not Scheduled,In Process,38.2,Partial,Partially Eligible,48.3,10
APP113997,CAND20522,Kirti Iyengar,33,Female,Diploma,CA Inter,2022,3,"Accounts Payable, Auditing, TDS, Taxation",JOB5868,Accountant,Nexus  Corp,Finance & Accounting,Cochin,Kerala,Full-Time,Hybrid,"Accounts Receivable, Auditing, TDS, Excel",0,3.2L-4.5L,INR 3.3,INR 3.0,08-05-2025,Referral,applied,Not Scheduled,In Process,49.3,Yes,Partially Eligible,71,4
APP118707,CAND22581,Muthu Iyer,40,Male,Bachelor's,B.Com,2020,1,"TDS, Excel, Presentation Skills, GST",JOB5551,Accountant,Skyline Industries,Finance & Accounting,Ahmedabad,Gujarat,Contract,Work From Office,"Bookkeeping, Auditing, Tally, Accounts Receivable, Taxation, Bank Reconciliation",5,2.5L-3.6L,3.2 LPA,2.8L,26-05-2024,Indeed,Pending,Not Scheduled,In Process,0,No,Not Eligible,4.8,39
APP104295,CAND22464,Madhavi Yadav,22,Female,Bachelor's,B.Com,2025,0,"Teamwork, Excel, Business Process Modeling, Agile, Power BI",JOB5382,Business Analyst,Nexus Softwares,Information Technology,Hyderabad,Telangana,Contract,Hybrid,"JIRA, Power BI, Communication, Business Process Modeling",6,Rs. 4 - 5.5 LPA,INR 4.5,"3,40,000",14-Dec-25,Referral,Reject,Not Scheduled,Rejected,51,No,Not Eligible,35.6,43
APP119051,CAND30110,Yash Jain,25,Male,Master's,B.Sc Statistics,2010,13.3,"Deep Learning, Scikit-learn, Statistics, Pandas, TensorFlow",JOB5272,Data Scientist,Nexus Services,Information Technology,Chennai,Tamil Nadu,Full-Time,Hybrid,"SQL, TensorFlow, Data Visualization, Deep Learning",4,19.6L-22L,20.1 LPA,17.0 LPA,14-03-2024,Naukri,Reject,Not Scheduled,Rejected,48.4,Yes,Partially Eligible,70.9,29
